"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.08.2024","219,86","219,15","225,60","217,71","105,57M","0,69%"
"01.08.2024","218,36","224,37","224,48","217,02","62,50M","-1,68%"
"31.07.2024","222,08","221,44","223,82","220,63","50,04M","1,50%"
"30.07.2024","218,80","219,19","220,32","216,12","41,64M","0,26%"
"29.07.2024","218,24","216,96","219,30","215,75","36,31M","0,13%"
"26.07.2024","217,96","218,70","219,49","216,01","41,60M","0,22%"
"25.07.2024","217,49","218,93","220,85","214,62","51,39M","-0,48%"
"24.07.2024","218,54","224,00","224,80","217,13","61,78M","-2,88%"
"23.07.2024","225,01","224,37","226,94","222,68","39,96M","0,47%"
"22.07.2024","223,96","227,01","227,78","223,09","48,20M","-0,16%"
"19.07.2024","224,31","224,82","226,80","223,27","49,15M","0,06%"
"18.07.2024","224,18","230,28","230,44","222,27","66,03M","-2,05%"
"17.07.2024","228,88","229,45","231,46","226,64","57,35M","-2,53%"
"16.07.2024","234,82","235,00","236,27","232,33","43,23M","0,18%"
"15.07.2024","234,40","236,48","237,23","233,09","62,63M","1,67%"
"12.07.2024","230,54","228,92","232,64","228,68","53,05M","1,31%"
"11.07.2024","227,57","231,39","232,39","225,77","64,71M","-2,32%"
"10.07.2024","232,98","229,30","233,08","229,25","62,63M","1,88%"
"09.07.2024","228,68","227,93","229,40","226,37","48,17M","0,38%"
"08.07.2024","227,82","227,09","227,85","223,25","59,09M","0,65%"
"05.07.2024","226,34","221,65","226,45","221,65","60,41M","2,16%"
"03.07.2024","221,55","220,00","221,55","219,03","37,37M","0,58%"
"02.07.2024","220,27","216,15","220,38","215,10","58,05M","1,62%"
"01.07.2024","216,75","212,09","217,51","211,92","60,40M","2,91%"
"28.06.2024","210,62","215,77","216,07","210,30","82,54M","-1,63%"
"27.06.2024","214,10","214,69","215,74","212,35","49,77M","0,40%"
"26.06.2024","213,25","211,50","214,86","210,64","66,21M","2,00%"
"25.06.2024","209,07","209,15","211,38","208,61","56,71M","0,45%"
"24.06.2024","208,14","207,72","212,70","206,59","80,73M","0,31%"
"21.06.2024","207,49","210,39","211,89","207,11","246,42M","-1,04%"
"20.06.2024","209,68","213,93","214,24","208,85","86,17M","-2,15%"
"18.06.2024","214,29","217,59","218,63","213,00","79,94M","-1,10%"
"17.06.2024","216,67","213,37","218,95","212,72","93,73M","1,97%"
"14.06.2024","212,49","213,85","215,17","211,30","70,12M","-0,82%"
"13.06.2024","214,24","214,74","216,75","211,60","97,86M","0,55%"
"12.06.2024","213,07","207,37","220,20","206,90","198,13M","2,86%"
"11.06.2024","207,15","193,65","207,16","193,63","172,37M","7,26%"
"10.06.2024","193,12","196,90","197,30","192,15","97,26M","-1,91%"
"07.06.2024","196,89","194,65","196,94","194,14","53,10M","1,24%"
"06.06.2024","194,48","195,68","196,50","194,17","41,18M","-0,71%"
"05.06.2024","195,87","195,40","196,90","194,87","54,16M","0,78%"
"04.06.2024","194,35","194,63","195,32","193,03","47,47M","0,16%"
"03.06.2024","194,03","192,90","194,99","192,52","50,08M","0,93%"
"31.05.2024","192,25","191,44","192,57","189,91","75,16M","0,50%"
